original_title,runtime,tagline,vote_average
The Devil's Advocate,144,Evil has its winning ways.,7.2
That's My Boy,116,The story of a child… and his son.,5.5
DragonHeart,103,You will believe.,6.4
After the Sunset,97,Who will walk away?,6
Ghost Rider: Spirit of Vengeance,95,He Rides Again.,4.7
Captain Corelli's Mandolin,131,xyz,5.5
The Pacifier,95,Welcome to the infantry.,5.8
Walking Tall,86,One man will stand up for what's right.,6
Forrest Gump,142,The world will never be the same  once you've seen it through the eyes of Forrest Gump.,8.2
Alvin and the Chipmunks,92,Get your squeak on!,5.5
Meet the Parents,108,First comes love. Then comes the interrogation.,6.6
Pocahontas,81,An American legend comes to life.,6.7
Superman,143,You'll Believe a Man Can Fly!,6.9
The Nutty Professor,95,Inside Sherman Klump  a party animal is about to break out.,5.4
Hitch,118,The cure for the common man.,6.4
George of the Jungle,92,Watch out!,5.4
American Wedding,103,Forever hold your piece.,6
Captain Phillips,134,Out here survival is everything.,7.6
Date Night,97,One ordinary couple. One little white lie.,5.9
Casper,100,Get an afterlife,6
The Equalizer,132,What do you see when you look at me?,7.1
Maid in Manhattan,105,xyz,5.6
Crimson Tide,116,Danger runs deep.,7
The Pursuit of Happyness,117,xyz,7.7
Flightplan,98,If Someone Took Everything You Live For... How Far Would You Go To Get It Back?,6.1
Disclosure,123,Sex Is Power.,5.9
City of Angels,114,She didn't believe in angels until she fell in love with one.,6.4
Kill Bill: Vol. 1,111,Go for the kill.,7.7
Bowfinger,97,The con is on.,6
Kill Bill: Vol. 2,136,The bride is back for the final cut.,7.6
Tango & Cash,104,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,6.1
Death Becomes Her,104,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,6.3
Shanghai Noon,110,The old west meets the far east.,6.2
Executive Decision,133,Fasten your seat belts,5.8
Mr. Popper's Penguins,94,xyz,5.7
The Forbidden Kingdom,104,The battle for eternity is the fantasy of a lifetime.,6.3
Free Birds,91,Hang On To Your Nuggets,5.7
Alien³,114,The bitch is back.,6.2
Evita,134,The Most Anticipated Motion Picture Event of The Year,5.9
Ronin,122,Your ally could become your enemy.,6.7
The Ghost and the Darkness,109,Prey For The Hunters,6.4
Paddington,95,The Adventure Begins,7
The Watch,98,Got Protection?,5.3
The Hunted,94,Some men should not be found.,6
Instinct,126,xyz,6.2
Stuck on You,118,Whatever happens to the boys  one thing is certain. Nothing will ever come between them.,5.1
Semi-Pro,91,Putting the funk into the dunk.,5.4
The Pirates! In an Adventure with Scientists!,88,It's A Plunderful Life,6.4
Changeling,141,To find her son  she did what no one else dared.,7.3
Chain Reaction,107,Reaction Time 8-4-96,5.3
The Fan,116,All fans have a favorite player.  This one has a favorite target.,5.7
The Phantom of the Opera,143,The classic musical comes to the big screen for the first time.,7
Elizabeth: The Golden Age,114,Woman. Warrior. Queen.,6.6
Æon Flux,93,The Perfect World Meets The Perfect Assassin,5.4
Gods and Generals,214,The nations heart was touched by...,6.1
Turbulence,100,If you weren't afraid of flying before  you will be now.,5.2
Imagine That,107,What if your daughter's imagination... Was the secret to your success?,5.7
Muppets Most Wanted,112,Taking the world by farce,6.2
Thunderbirds,95,xyz,4.2
Burlesque,119,It takes a legend... to make a star,6.9
Un long dimanche de fiançailles,133,Never let go,7.1
Lolita,153,How did they ever make a movie of ...,7.3
D-Tox,96,Survival is a Killer.,5.3
Blade II,117,Faster. Sharper. Deadlier.,6.2
Seven Pounds,123,Seven names. Seven strangers. One secret.,7.5
Bullet to the Head,92,Revenge Never Gets Old.,5.2
The Godfather: Part III,162,All the power on earth can't change destiny.,7.1
Elizabethtown,123,It's a heck of a place to find yourself,6.1
You  Me and Dupree,108,Two's company. Dupree's a crowd.,5.4
Superman II,127,The Man of Steel meets his match!,6.5
Gigli,121,Life doesn't play by the rules.,3.5
All the King's Men,125,Some people will do anything to gain power. Some will do anything to keep it.,5.7
Shaft,99,Still the man  any questions?,5.5
Anastasia,94,Discover the Adventure Behind the Greatest Mystery of Our Time.,7.4
Moulin Rouge!,127,No Laws. No Limits. One Rule. Never Fall In Love.,7.4
Domestic Disturbance,89,He will do anything to protect his family.,5.4
Black Mass,122,Keep your enemies close.,6.3
Flags of Our Fathers,132,They fight for their country but they die for their friends.,6.7
Law Abiding Citizen,109,The System Must Pay.,7.2
Grindhouse,191,A double feature that'll tear you in two!,6.8
Beloved,172,The past has a life of its own.,5.9
Lucky You,124,Change your game. Change your life.,5.4
Catch Me If You Can,141,The true story of a real fake.,7.7
Zero Dark Thirty,157,The Greatest Manhunt in History,6.7
The Break-Up,106,. . . pick a side.,5.6
Mamma Mia!,108,Take a trip down the aisle you'll never forget,6.4
Valentine's Day,125,A Love Story. More or Less.,5.7
The Dukes of Hazzard,104,Cousins. Outlaws. Thrillbillies.,5.1
The Thin Red Line,170,Every man fights his own war.,7.2
The Change-Up,112,Who says men can't change?,5.9
Man on the Moon,118,Hello  my name is Andy and this is my movie.,6.9
Casino,178,No one stays at the top forever.,7.8
From Paris with Love,92,Two agents. One city. No merci.,6.1
Bulletproof Monk,104,A power beyond measure requires a protector without equal.,5.1
Me  Myself & Irene,116,From gentle to mental.,6.1
Barnyard,90,What happens in the barn stays in the barn,5.3
Deck the Halls,93,There glows the neighborhood,5.1
The Twilight Saga: New Moon,130,The Next Chapter Begins.,5.6
Shrek,90,The greatest fairy tale never told.,7.3
The Adjustment Bureau,106,Fight for your fate.,6.5
Robin Hood: Prince of Thieves,143,For the good of all men  and the love of one woman  he fought to uphold justice by breaking the law.,6.6
Jerry Maguire,139,Everybody loved him... Everybody disappeared.,6.7
Ted,106,Ted is coming.,6.3
As Good as It Gets,139,A comedy from the heart that goes for the throat.,7.2
Patch Adams,115,Laughter is contagious,7
Anchorman 2: The Legend Continues,119,It's kind of a big deal,6
Mr. Deeds,96,Small town kid  big time right hook.,5.6
Super 8,112,It Arrives.,6.6
Erin Brockovich,131,She brought a small town to its feet and a huge corporation to its knees.,7.1
How to Lose a Guy in 10 Days,116,One of them is lying. So is the other.,6.3
22 Jump Street,112,They're not 21 anymore,7
Interview with the Vampire,123,Drink from me and live forever,7.2
Yes Man,104,One Word Can Change Everything.,6.4
Central Intelligence,107,Saving the world takes a little Hart and a big Johnson,6.2
Stepmom,124,Be there for the joy. Be there for the tears. Be there for each other.,6.9
Daddy's Home,96,Choose your Daddy,5.8
Into the Woods,125,Be careful what you wish for...,5.6
Inside Man,129,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,7.3
Payback,100,No More Mr. Nice Guy.,6.7
Congo,109,Where you are the endangered species.,5
We Bought a Zoo,124,A True Zoo Story,6.5
Knowing,121,Knowing is everything...,5.9
Failure to Launch,97,To leave the nest  some men just need a little push.,5.5
The Ring Two,110,The dead don't sleep.,5.4
Crazy  Stupid  Love.,118,This Is Stupid,7
Garfield,80,Get ready for frisky business.,5.2
Christmas with the Kranks,99,No! Ho! Ho!,5.2
Moneyball,133,What are you really worth?,7
Outbreak,127,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,6.3
Non-Stop,106,The hijacking was just the beginning.,6.8
Race to Witch Mountain,98,The race is on,5.5
V for Vendetta,132,People should not be afraid of their governments. Governments should be afraid of their people.,7.7
Shanghai Knights,115,A Royal Kick In The Arse.,6
Curious George,86,Get Carried Away With The Cutest Little Monkey Around!,6.2
Herbie Fully Loaded,101,Start your engines...,5.1
Don't Say a Word,113,...I'll never tell.,6
Hansel & Gretel: Witch Hunters,88,Classic tale. New twist.,5.7
Unfaithful,124,Where do you go when you've gone too far?,6.3
I Am Number Four,109,Three like him have already been killed…he is Number Four.,5.9
Syriana,128,Everything is connected.,6.3
13 Hours: The Secret Soldiers of Benghazi,144,When everything went wrong  six men had the courage to do what was right.,7
The Book of Life,95,xyz,7.3
Firewall,105,Nothing Is More Dangerous Than A Man With Everything To Lose.,5.6
Absolute Power,121,Corrupts Absolutely.,6.4
G.I. Jane,125,Failure is not an option.,6
The Game,129,What do you get for the man who has everything?,7.5
Silent Hill,125,We've been expecting you.,6.3
The Replacements,118,Throw the ball. Catch the girl. Keep it simple.,6.1
American Reunion,113,Save the best piece for last.,6.1
The Negotiator,140,He frees hostages for a living. Now he's taking hostages to survive.,6.8
Into the Storm,89,Prepare to go,5.8
Beverly Hills Cop III,104,xyz,5.5
Gremlins 2: The New Batch,106,Here they grow again.,6.2
The Judge,141,Defend your Honor.,7.2
The Peacemaker,124,How do you get the world's attention?,5.8
Resident Evil: Apocalypse,94,You're all going to die.,6.1
Bridget Jones: The Edge of Reason,108,Same Bridget. Brand new diary.,6.1
Out of Time,105,The Clock Is Ticking...,6.1
On Deadly Ground,102,His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...,4.5
The Adventures of Sharkboy and Lavagirl,92,Smaller heroes. Just as super.,4.4
The Beach,119,Somewhere on this planet it must exist.,6.3
Raising Helen,119,Her uptown life gets turned inside out!,5.9
Ninja Assassin,99,Fear not the weapon  but the hand that wields it.,6.2
For Love of the Game,137,Billy Chapel must choose between the woman he loves and the game he lives for.,6.3
Striptease,115,Some People Get Into Trouble No Matter What They WEAR.,4.4
Marmaduke,87,Live Large,5
Hereafter,129,Touched by death. Changed by life.,5.8
Murder by Numbers,120,The only flaw in their plan was her.,6
Assassins,132,In the shadows of life  In the business of death  One man found a reason to live...,6
Hannibal Rising,121,It started with revenge.,6
The Story of Us,95,xyz,5.9
The Host,125,You will be one of us,6
Basic,98,Deception is their most deadly weapon.,6.2
Blood Work,110,He's a heartbeat away from catching the killer,6.1
The International,118,Is your money making a killing?,6
Escape from L.A.,97,Snake Is Back.,5.6
The Iron Giant,86,It came from outer space!,7.6
The Life Aquatic with Steve Zissou,119,The deeper you go  the weirder life gets.,7.1
Free State of Jones,139,Based on the incredible true story.,6.6
The Life of David Gale,130,The crime is clear. The truth is not.,7.3
Man of the House,100,Protecting witnesses is a challenge. Living with them is impossible.,5.4
Run All Night,114,No sin goes unpunished,6.3
Eastern Promises,100,Every sin leaves a mark.,7.2
Into the Blue,110,Treasure has its price.,5.8
Joan of Arc,148,xyz,6.2
Your Highness,102,Get your quest on.,5.2
Dream House,84,Once upon a time  there were two little girls who lived in a house.,5.8
Mad City,114,One man will make a mistake. The other will make it a spectacle.,5.9
Baby's Day Out,99,No bib. No crib. No problem.,5.8
The Scarlet Letter,135,When intimacy is forbidden and passion is a sin  love is the most defiant crime of all.,5.5
Fair Game,108,Wife. Mother. Spy.,6.5
Domino,127,Heads You Live... Tails You Die.,6
Jade,95,Some fantasies go too far.,5.2
Gamer,95,In the near future  you don't live to play... you'll play to live.,5.6
Beautiful Creatures,124,Dark secrets will come to light.,5.6
Death to Smoochy,109,Get ready for an unexpected hit.,5.9
Zoolander 2,100,Long time no Z,4.7
The Big Bounce,88,It's all in who you trust,5
What Planet Are You From?,105,To save his planet  an alien must find a woman on Earth to have his baby. There's just one problem.,5.4
Drive Angry,105,One hell of a ride.,5.3
Street Fighter: The Legend of Chun-Li,97,Some fight for power. Some fight for us.,3.9
The One,87,Stealing the power of the universes one by one.,5.7
The Adventures of Ford Fairlane,104,Kojak. Columbo. Dirty Harry. Wimps.,6.2
The Boat That Rocked,116,On air. Off shore. Out of control.,7.2
Traffic,147,No one gets away clean,6.9
Indiana Jones and the Last Crusade,127,The man with the hat is back. And this time  he's bringing his Dad.,7.6
Anna Karenina,130,An epic story of love.,6.5
Chappie,120,I am consciousness. I am alive. I am Chappie.,6.6
The Bone Collector,118,Serial killer vs. forensic genius,6.5
Panic Room,111,xyz,6.5
The Tooth Fairy,0,xyz,4.3
Three Kings,114,It's good to be King.,6.6
Child 44,137,How do you find a killer who doesn’t exist?,6.1
Rat Race,112,563 miles. 9 people. $2 million. 1001 problems!,6
K-PAX,120,Change the way you look at the world.,7.1
Kate & Leopold,118,If they lived in the same century they'd be perfect for each other.,6
Bedazzled,93,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,5.6
The Cotton Club,127,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,6.6
3:10 to Yuma,122,Time waits for one man.,6.9
Taken 3,109,It Ends Here,6.1
Out of Sight,123,Opposites attract.,6.5
The Cable Guy,96,There's no such thing as free cable.,5.7
1947: Earth,101,xyz,6.6
Dick Tracy,103,Their turf. Their game. Their rules. They didn't count on HIS law...,5.9
The Thomas Crown Affair,113,How do you get the man who has everything?,6.6
Riding in Cars with Boys,132,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.,6.5
First Blood,93,This time he's fighting for his life.,7.2
Солярис,167,xyz,7.7
Happily N'Ever After,75,Fairy Tale Endings Aren't What They Used To Be,4.6
Mary Reilly,104,The untold story of Jekyll and Hyde,5.7
My Best Friend's Wedding,105,It's about finding the love of your life. And deciding what to do about it.,6.3
America's Sweethearts,102,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.,5.5
Insomnia,118,A tough cop. A brilliant killer. An unspeakable crime.,6.8
Star Trek: First Contact,111,Resistance is futile.,7
Jonah Hex,80,Revenge gets ugly.,4.4
Courage Under Fire,117,A medal for honor. A search for justice. A battle for truth.,6.2
Liar Liar,86,Trust me.,6.4
The Infiltrator,127,The true story of one man against the biggest drug cartel in history.,6.6
Inchon,140,LOVE. DESTINY. HEROES. War Changes Everything.,6.5
The Flintstones,91,Yabba-Dabba-Doo!,5
Taken 2,91,First they took his daughter. Now they're coming for him.,6.1
Scary Movie 3,84,Great trilogies come in threes.,5.8
Miss Congeniality,111,Never Mess With An Agent In A Dress.,6.1
Journey to the Center of the Earth,93,Same Planet. Different World.,5.8
The Princess Diaries 2: Royal Engagement,113,It can take a lifetime to find true love; she's got 30 days!,6
The Pelican Brief,141,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,6.3
The Client,119,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,6.4
The Bucket List,97,Find the joy.,7
Patriot Games,117,Not for honor. Not for country. For his wife and child.,6.3
Monster-in-Law,101,This relationship is going to be a real mother.,5.6
Prisoners,153,Every moment matters.,7.9
Training Day,122,The only thing more dangerous than the line being crossed  is the cop who will cross it.,7.3
Galaxy Quest,102,A comedy of Galactic Proportions.,6.9
Scary Movie 2,83,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,5.4
The Muppets,103,They're closer than you think.,6.5
Blade,120,Part Man. Part Vampire. All Hero.,6.5
Coach Carter,136,It begins on the street. It ends here.,7.3
Changing Lanes,89,An ambitious lawyer  a desperate father  they had no reason to meet  until today ,5.9
Anaconda,89,When You Can't Breathe You Can't Scream.,4.7
Coyote Ugly,100,This party never ends.,5.8
Love Actually,135,The ultimate romantic comedy.,7
A Bug's Life,95,An epic presentation of miniature proportions.,6.8
From Hell,122,Only the legend will survive.,6.6
The Specialist,110,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,5.5
Tin Cup,135,Golf Pro. Love Amateur.,5.9
Yours  Mine and Ours,111,Their wedding night set new attendence records,6.2
Kicking & Screaming,95,One man could lead this team to glory. . . That man was busy,5.6
The Hitchhiker's Guide to the Galaxy,109,Don't leave Earth without it.,6.6
Fat Albert,93,xyz,4.3
Resident Evil: Extinction,94,The Extinction Is Coming...,6.1
Blended,117,Single Dad  No Clue. Single Mum  Flying Solo.,6.6
Last Holiday,112,She always thought she was somebody special... and she was.,6.4
The River Wild,111,The vacation is over,6.1
The Indian in the Cupboard,96,xyz,5.9
Savages,131,Young Beautiful Deadly.,6.2
Cellular,94,If the signal dies so does she,6.1
Johnny English,88,He knows no fear  he knows no danger  he knows nothing.,6
The Ant Bully,88,The battle for the lawn is on.,5.5
Dune,137,A world beyond your experience  beyond your imagination.,6.5
Across the Universe,133,All you need is love.,7.1
Revolutionary Road,119,How do you break free without breaking apart?,6.7
16 Blocks,105,For a New York cop and his witness  the distance between life and death just got very short.,6.2
Babylon A.D.,101,Kill or be Killed.,5.4
The Glimmer Man,92,Two good cops. One bad situation.,4.7
Multiplicity,117,Sometimes to get more out of life  you have to make more of yourself.,5.5
Aliens in the Attic,86,The aliens vs. the Pearsons,5.3
The Pledge,123,xyz,6.5
The Producers,134,xyz,6.1
The Phantom,100,Slam Evil!,4.7
All the Pretty Horses,117,Some passions can never be tamed.,5.8
Nixon,192,Triumphant in Victory  Bitter in Defeat. He Changed the World  But Lost a Nation.,7.1
The Ghost Writer,128,Read between the lies.,6.7
Deep Rising,106,Full Scream Ahead,6
Miracle at St. Anna,160,xyz,6.3
滿城盡帶黃金甲,114,Unspeakable secrets are hidden within the Forbidden City.,6.6
Bangkok Dangerous,99,There's only one way out.,5
Big Trouble,85,They have forty-five minutes to save the world. They need forty-six.,6.3
Love in the Time of Cholera,139,How long would you wait for love?,6.4
Shadow Conspiracy,103,xyz,4
Johnny English Reborn,101,One man. One mission. No chance.,6
Foodfight!,87,When good food... goes bad!,2.3
Argo,120,The movie was fake. The mission was real.,7.1
The Fugitive,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,7.2
The Bounty Hunter,110,It's a Job. It Isn't Personal. Well  Maybe a Little...,5.5
Sleepers,147,When friendship runs deeper than blood.,7.3
Rambo: First Blood Part II,96,What most people call hell  he calls home.,6.3
The Juror,118,There is no defense.,5.5
Pinocchio,88,For anyone who has ever wished upon a star.,6.9
Heaven's Gate,219,The only thing greater than their passion for America... was their passion for each other.,6.4
Underworld: Evolution,106,My God. Brother  what have you done?,6.4
Victor Frankenstein,109,Discover the origin of the monster and his creation.,5.6
Finding Forrester,136,In an ordinary place  he found the one person to make his life extraordinary.,7
28 Days,103,The Life of the Party... before she got a life.,6
Unleashed,103,Serve No Master,6.6
The Sweetest Thing,84,A romantic comedy without the sugar.,5.3
The Firm,154,Power can be murder to resist.,6.6
Charlie St. Cloud,99,Life is for living.,6.8
The Mechanic,93,Someone has to fix the problems.,6.3
21 Jump Street,109,They thought the streets were mean. Then they went back to high school.,6.7
Notting Hill,124,Can the most famous film star in the world fall for the man on the street?,7
Chicken Run,84,This ain't no chick flick. It's poultry in motion.,6.5
Along Came Polly,90,For the most cautious man on Earth  life is about to get interesting.,5.8
Boomerang,117,A Player Who's About to be Played.,5.4
The Heat,117,Action's never been so hot!,6.5
Cleopatra,248,The motion picture the world has been waiting for!,6.7
Here Comes the Boom,105,No one will fight for his students like Mr. Voss.,6
High Crimes,115,Everything you trust. Everything you know. May be a lie...,6.1
The Mirror Has Two Faces,126,A story about just how wrong two people can be before they can be right.,6.5
The Mothman Prophecies,119,What do you see?,6.1
Brüno,83,Borat was so 2006,5.4
Licence to Kill,133,His bad side is a dangerous place to be.,5.9
Red Riding Hood,100,Who's afraid?,5.6
15 Minutes,120,America Likes to Watch,5.7
Super Mario Bros.,104,This Ain't No Game.,4
Lord of War,122,Where there's a will  there's a weapon,7
英雄,99,One man's strength will unite an empire.,7.2
One for the Money,91,She's looking for a few not-so-good men,5.3
The Interview,112,The Film Hackers Tried To Get Banned,6.1
The Warrior's Way,100,Assassin. Hero. Legend.,6.3
Micmacs à tire-larigot,100,Non Stop Madness,6.8
8 Mile,110,Every moment is another chance.,6.8
Pourquoi j'ai pas mangé mon père,100,These feet are made for walkin',5.3
A Knight's Tale,132,He Will Rock You,6.6
The Medallion,88,xyz,5.3
The Sixth Sense,107,Not every gift is a blessing.,7.7
Man on a Ledge,102,You can only push an innocent man so far,6.2
The Big Year,100,Everyone is searching for something.,5.6
The Karate Kid,126,Only the 'Old One' could teach him the secrets of the masters.,6.9
American Hustle,138,Everyone Hustles To Survive,6.8
The Proposal,108,Here comes the bribe...,6.7
Double Jeopardy,105,Murder isn't always a crime.,6.2
Back to the Future Part II,108,Roads? Where we're going  we don't need roads!,7.4
Lucy,89,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,6.3
Fifty Shades of Grey,125,Are you curious?,5.2
Spy Kids 3-D: Game Over,84,3rd Mission. 3rd Dimension.,4.7
A Time to Kill,149,Experience a time you'll never forget.,7
Cheaper by the Dozen,98,Growing pains? They've got twelve of them!,6
Lone Survivor,121,Based on True Acts of Courage,7.4
A League of Their Own,128,To achieve the incredible  you have to attempt the impossible.,6.7
The Conjuring 2,134,The next true story from the case files of Ed and Lorraine Warren,7
The Social Network,120,You don't get to 500 million friends without making a few enemies.,7.1
He's Just Not That Into You,129,Are you the exception...or the rule?,6.2
Scary Movie 4,83,Bury the grudge. Burn the village.  See the saw.,5.3
Scream 3,116,Someone has taken their love of trilogies one step too far.,5.7
Back to the Future Part III,118,They've saved the best trip for last... But this time they may have gone too far.,7.1
Get Hard,100,An education in incarceration.,5.9
Dracula,128,Love never dies.,7.1
Julie & Julia,123,Based on Two True Stories,6.6
42,128,The True Story Of An American Legend,6.8
The Talented Mr. Ripley,139,How far would you go to become someone else?,7
Dumb and Dumber To,110,The Second Parts Are More Fools,5.4
Eight Below,120,The Most Amazing Story Of Survival  Friendship  And Adventure Ever Told.,6.7
The Intern,121,Experience never gets old,7.1
Ride Along 2,102,The brothers-in-law are back,6.1
The Last of the Mohicans,112,The first American hero.,7.1
Ray,152,The extraordinary life story of Ray Charles.,7.2
Sin City,124,Walk down the right back alley in Sin City and you can find anything...,7.2
Vantage Point,90,8 Strangers  8 points of view.  1 Truth.,6.2
I Love You  Man,105,He needed a best man... He got the worst.,6.5
Shallow Hal,114,Are You A Shallow Guy?,5.7
JFK,189,The story that won’t go away.,7.5
Big Momma's House 2,99,The momma of all comedies is back!!!,5.4
The Mexican,123,Love with the safety off.,5.8
17 Again,102,Who says you're only young once?,6.1
The Other Woman,109,The oddest friends are about to get even,6.2
The Final Destination,82,Rest In Pieces,5.4
Bridge of Spies,141,In the shadow of war  one man showed the world what we stood for.,7.2
Behind Enemy Lines,106,His only weapon is his will to survive.,6
Get Him to the Greek,109,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,5.9
Shall We Dance?,107,Step out of the ordinary,5.9
Small Soldiers,110,The few  the proud  and the small.,6.2
Spawn,96,Born in darkness. Sworn to justice.,5
The Count of Monte Cristo,131,Prepare for adventure. Count on revenge.,7.3
The Lincoln Lawyer,119,This Case is a Dangerous Game of Life and Death,7
Unknown,113,Take Back Your Life,6.5
The Prestige,130,Are You Watching Closely?,8
Horrible Bosses 2,108,New Crime. Same Tools.,6.1
Escape from Planet Earth,89,Earth's greatest secrets are about to break out!,5.7
Apocalypto,139,No one can outrun their destiny.,7.3
The Living Daylights,130,Licensed to thrill.,6.2
Predators,107,Fear is Reborn,6
Legal Eagles,116,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,5.8
Secret Window,96,The most important part of a story is the ending.,6.4
The Lake House,99,How do you hold on to someone you've never met?,6.5
The Skeleton Key,104,Fearing Is Believing,6.4
The Odd Life of Timothy Green,105,He's a force of nature.,6.5
Made of Honor,101,He'll do anything to get the groom out of the picture.,6
Jersey Boys,134,xyz,6.8
The Rainmaker,135,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,6.7
Gothika,98,Because someone is dead doesn't mean they're gone.,5.8
Amistad,155,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,6.8
Medicine Man,106,He turned his back on civilization. Only to discover he had the power to save it.,5.8
Aliens vs Predator: Requiem,94,The Last Place On Earth We Want To Be Is In The Middle,4.9
Ri¢hie Ri¢h,95,An adventure so big... even the world's richest kid can't afford to miss it!,5.4
Autumn in New York,103,He fell in love for the first time. She fell in love forever.,5.7
Music and Lyrics,96,Share the music with someone you love.,6.2
Paul,104,Who's up for a close encounter?,6.5
The Guilt Trip,95,Get ready for one mother of a road trip,5.4
Scream 4,111,New Decade. New Rules.,6.1
8MM,123,You can't prepare for where the truth will take you.,6.1
The Doors,140,The Ultimate Story of Sex  Drugs & Rock 'N' Roll,6.7
Sex Tape,97,A movie about a movie they don't want you to see.,5.3
Hanging Up,94,Every family has a few hang-ups.,5
Final Destination 5,92,We all share a common destination.,5.9
Mickey Blue Eyes,102,A romantic comedy you can't refuse,5.3
Pay It Forward,122,When someone does you a big favor  don't pay it back... Pay It Forward,7
Fever Pitch,103,A Comedy About The Game of Love.,5.9
Drillbit Taylor,102,You get what you pay for,5.5
A Million Ways to Die in the West,116,Bring protection.,5.8
The Shadow,108,The Shadow Knows!,5.4
Extremely Loud & Incredibly Close,129,This is not a story about September 11th  it's a story about every day after.,6.9
Morning Glory,102,Breakfast TV just got interesting.,6.1
Get Rich or Die Tryin',117,If You Think You Know the Story...You Don't Know the Man.,6.3
The Art of War,117,Who is your foe?,5.6
Rent,135,No day but today.,6.7
Bless the Child,107,Mankind's last hope just turned six.,4.9
The Out-of-Towners,90,They fell in love 24 years ago... and in the next 24 hours  they'll remember why.,5
The Island of Dr. Moreau,96,The gates of hell are unlocked.,4.6
The Musketeer,104,As you've never seen it before.,5.2
The Other Boleyn Girl,115,Two sisters divided for the love of a king.,6.4
Sweet November,119,She Just Needed A Month To Change His Life For Ever.,6.4
The Reaping,99,What Hath God Wrought?,5.4
Mean Streets,110,You don't make up for your sins in church. You do it in the streets...,7.2
Renaissance Man,128,One Man's Mission To Teach The Few  The Proud... The Impossible!,5.9
Colombiana,108,Revenge is beautiful.,6.5
Quest for Camelot,86,An evil knight gives nobility a bad name.,6.9
City By The Sea,108,When you're searching for a killer... the last suspect you want to see is your son.,5.7
At First Sight,128,Science gave him sight. She gave him vision.,5.9
Torque,84,Circuit of Fire,4.7
City Hall,111,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,6
Showgirls,128,Beyond your wildest dreams. Beyond your wildest fantasies.,4.9
Marie Antoinette,123,Rumor. Scandal. Fame. Revolution.,6.5
Kiss of Death,101,xyz,5.7
Get Carter,102,The Truth Hurts,4.8
Lo imposible,113,Nothing is more powerful than the human spirit.,7
Ishtar,107,xyz,4.2
Fantastic Mr. Fox,87,Dig the life fantastic!,7.5
Life or Something Like It,103,xyz,5.7
Memoirs of an Invisible Man,99,An adventure like you've never seen.,5.7
Le fabuleux destin d'Amélie Poulain,122,One person can change your life forever.,7.8
New York Minute,91,xyz,5.5
Alfie,103,Meet a man who never met a woman he didn't love.,5.6
Big Miracle,107,A family of whales trapped beneath the ice. One unforgettable rescue.,6.6
The Deep End of the Ocean,106,The search for her son was over. The search for her family was just beginning.,5.9
FearDotCom,101,The last site you'll ever see.,3.2
Cirque du Freak: The Vampire's Assistant,109,Meet Darren. He's sixteen going on immortal.,5.5
Duplex,89,xyz,5.9
Soul Men,103,xyz,6.3
Raise the Titanic,115,They've found the Titanic. There's just one thing left to do...,5.2
Universal Soldier: The Return,82,Prepare to become obsolete,4.2
Pandorum,108,Don't fear the end of the world. Fear what happens next.,6.5
Impostor,102,In the Future  not everyone is who they seem to be.,6.1
Extreme Ops,93,Fear is a trigger,5
Just Visiting,88,They're not just from another time  they're from France.,4.8
Sunshine,107,If the sun dies  so do we.,7
A Thousand Words,91,He only has 1000 words left to discover what matters the most.,6
Delgo,94,xyz,5.4
The Gunman,115,Armed With the Truth.,5.5
Stormbreaker,93,Rule the school. Save the world.,5.1
Disturbia,105,The quieter the street  the darker the secrets....,6.6
Hackers,107,There is no right or wrong  only fun and boring,6.2
The Hunting Party,101,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],6.6
The Hudsucker Proxy,111,They took him for a fall guy... but he threw them for a hoop.,7.1
投名狀,126,xyz,6.3
Nomad,112,Courage know no limit,4.3
Snowpiercer,126,AD 2031  the passengers in the train are the only survivors on Earth.,6.7
Un monstre à Paris,90,xyz,6.5
The Last Shot,90,xyz,5.9
The Crow,102,Real love is forever.,7.3
Baahubali: The Beginning,159,xyz,7.5
The Time Traveler's Wife,107,xyz,6.7
